SP SP_R_00C_30_rep1	ERR2861931
SP SP_R_00C_30_rep2	ERR2861943
SP SP_R_00C_30_rep3	ERR2861955
SP SP_R_15C_30_rep1	ERR2861932
SP SP_R_15C_30_rep2	ERR2861944
SP SP_R_15C_30_rep3	ERR2861956
SP SP_R_08C_30_rep1	ERR2861921
SP SP_R_08C_30_rep2	ERR2861936
SP SP_R_08C_30_rep3	ERR2861951
SP SP_S_00C_30_rep1	ERR2861926
SP SP_S_00C_30_rep2	ERR2861938
SP SP_S_00C_30_rep3	ERR2861949
SP SP_S_15C_30_rep1	ERR2861927
SP SP_S_15C_30_rep2	ERR2861939
SP SP_S_15C_30_rep3	ERR2861950
SP SP_S_08C_30_rep1	ERR2861925
SP SP_S_08C_30_rep2	ERR2861937
SP SP_S_08C_30_rep3	ERR2861948
GA MG_veget_d0_rep1	SRR9289313
GA FG_veget_d0_rep1	SRR9289314
GA MG_veget_d0_rep2	SRR9289319
GA FG_veget_d0_rep2	SRR9289320
GA MG_gamet_d1_rep1	SRR9289305
GA FG_gamet_d1_rep1	SRR9289306
GA MG_gamet_d1_rep2	SRR9289311
GA FG_gamet_d1_rep2	SRR9289312
GA MG_gamet_d6_rep1	SRR9289307
GA FG_gamet_d6_rep1	SRR9289308
GA MG_gamet_d6_rep2	SRR9289317
GA FG_gamet_d6_rep2	SRR9289318
GA MG_gamet_d8_rep1	SRR9289309
GA FG_gamet_d8_rep1	SRR9289310
GA MG_gamet_d8_rep2	SRR9289315
GA FG_gamet_d8_rep2	SRR9289316
